nci,dependencia_id,nombre_unidad_administrativa,inactivo,clave_unica,orden
19580,176,"OFICINA DE LA O DEL C. JEFA, E DE UNIDAD",,2180001A000000L,126
16174,176,SUBDIRECCIÓN DE VINCULACIÓN CON EL SISTEMA ANTICORRUPCIÓN,,21800010000100L,128
16173,176,SUBDIRECCION DE VINCULACIÓN CON EL SISTEMA DE FISCALIZACIÓN,,21800010000200L,130
16171,176,SUBDIRECCION DE ÉTICA,,21800010000300L,132
16176,176,SUBDIRECCION DE TRANSPARENCIA,,21800010000400L,134
7645,176,DIRECCION GENERAL DE CONTRALORÍA Y EVALUACIÓN SOCIAL,,21800004000000L,136
7646,176,"OFICINA DE LA O DEL C. DIRECTORA, OR GENERAL",,21800004A000000,138
7647,176,DELEGACIÓN ADMINISTRATIVA,,21800004000100L,140
7648,176,SUBDIRECCIÓN DE PARTICIPACIÓN CIUDADANA EN EL CONTROL INTERNO,,21800004000200L,142
7649,176,DEPARTAMENTO DE CONTROL Y VIGILANCIA DE OBRA,,21800004000201L,144
7650,176,DEPARTAMENTO DE CONTROL Y VIGILANCIA DE PROGRAMAS SOCIALES,,21800004000202L,146
7651,176,SUBDIRECCIÓN DE ATENCION CIUDADANA Y EVALUACIÓN,,21800004000300L,148
7652,176,DELEGACIÓN REGIONAL DE CONTRALORIA SOCIAL Y ATENCIÓN CIUDADANA ZONA ORIENTE,,21800004000100T,150
7653,176,DELEGACIÓN REGIONAL DE CONTRALORIA SOCIAL Y ATENCIÓN CIUDADANA ZONA SUR,,21800004000200T,152
7654,176,DELEGACIÓN REGIONAL DE CONTRALORIA SOCIAL Y ATENCIÓN CIUDADANA ZONA SURESTE,,21800004000300T,154
7655,176,DELEGACIÓN REGIONAL DE CONTRALORIA SOCIAL Y ATENCIÓN CIUDADANA ZONA NORTE,,21800004000400T,156
7656,176,DELEGACIÓN REGIONAL DE CONTRALORIA SOCIAL Y ATENCIÓN CIUDADANA ZONA NORESTE,,21800004000500T,158
7657,176,DELEGACIÓN REGIONAL DE CONTRALORIA SOCIAL Y ATENCIÓN CIUDADANA ZONA METROPOLITANA,,21800004000600T,160
7658,176,DELEGACIÓN REGIONAL DE CONTRALORIA SOCIAL Y ATENCIÓN CIUDADANA ZONA TOLUCA,,21800004000700T,162
16162,176,DIRECCIÓN DE POLÍTICAS Y SEGUIMIENTO DE SISTEMAS EN CONTRATACIONES,,21800000010000L,164
101570,176,SUBDIRECCIÓN DE SEGUIMIENTO DE SISTEMAS EN CONTRATACIONES,,21800000010100L,166
101571,176,DIRECCIÓN DE TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES,,21800000020000L,168
101572,176,SUBDIRECCIÓN DE INFRAESTRUCTURA Y TELECOMUNICACIONES,,21800000020100L,170
17785,176,UNIDAD ESTATAL DE EVALUACIÓN DE CONFIANZA,,,172
17786,176,DIRECCION,,,174
17787,176,OFICINA DEL C. DIRECTOR,,,176
17788,176,"DEPARTAMENTO DE VINCULACION, PROGRAMACION Y RESULTADOS FINALES",,,178
17789,176,DEPARTAMENTO DE PSICOLOGIA Y MEDICO TOXICOLOGICO,,,180
17790,176,DEPARTAMENTO DE INVESTIGACION SOCIECONOMICA Y POLIGRAFIA,,,182
